Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000513;1 098 502;813 065;A01;2;2;1;1;1987.0;5;8;-1;-1;0;0;-1
202200000513;1 098 505;813 065;A01;6;2;1;2;1992.0;5;8;-1;-1;0;0;-1
202200000513;1 098 507;813 065;A01;8;2;4;1;2000.0;5;8;-1;-1;0;0;-1
202200000513;1 098 509;813 065;A01;3;2;4;1;1987.0;5;8;-1;-1;0;0;-1
202200000514;1 098 491;813 061;A01;1;1;4;1;1980.0;5;0;-1;-1;0;0;-1
202200000515;1 098 489;813 060;A01;10;3;4;2;1962.0;5;0;-1;-1;3;3;1
202200000515;1 098 490;813 060;A01;1;1;1;1;1997.0;5;1;-1;-1;0;0;-1
202200000516;1 098 485;813 058;A01;4;2;4;1;2002.0;5;0;-1;-1;0;0;-1
202200000516;1 098 487;813 058;A01;1;1;4;1;1992.0;5;0;-1;-1;0;0;-1
202200000517;1 098 484;813 057;A01;10;3;3;1;1999.0;5;8;-1;-1;1;1;1
202200000517;1 098 486;813 057;A01;1;1;1;1;1978.0;1;8;-1;-1;0;0;-1
202200000518;1 098 482;813 055;B01;1;1;3;2;1984.0;1;2;-1;-1;0;0;-1
202200000518;1 098 488;813 059;A01;1;1;1;2;1943.0;5;1;-1;-1;0;0;-1
202200000519;1 098 481;813 054;B01;1;1;1;1;2004.0;5;1;-1;-1;0;0;-1
202200000519;1 098 483;813 056;A01;1;1;4;2;1962.0;5;2;-1;-1;0;0;-1
202200000520;1 098 478;813 051;A01;1;1;2;1;1964.0;5;8;-1;-1;0;0;-1
202200000520;1 098 480;813 053;B01;1;1;4;2;1993.0;5;1;-1;-1;0;0;-1
202200000521;1 098 476;813 050;A01;1;1;4;1;1988.0;5;2;0;-1;0;0;-1
202200000522;1 098 477;813 049;A01;1;1;3;1;1951.0;0;2;-1;-1;0;0;-1
202200000522;1 098 479;813 052;B01;1;1;1;1;1965.0;4;1;-1;-1;0;0;-1
202200000523;1 098 475;813 048;A01;1;1;4;1;2000.0;1;1;-1;-1;0;0;-1
202200000524;1 098 468;813 045;B01;4;2;1;1;2013.0;2;1;0;-1;-1; -1;-1
202200000524;1 098 470;813 045;B01;3;2;1;1;2011.0;2;1;0;-1;-1; -1;-1
202200000524;1 098 472;813 045;B01;1;1;4;2;1983.0;2;1;8;-1;-1; -1;-1
202200000524;1 098 473;813 046;A01;1;1;1;1;1982.0;4;1;8;-1;-1; -1;-1
202200000525;1 098 462;813 041;A01;1;1;1;1;1993.0;4;1;-1;-1;0;0;-1
202200000525;1 098 465;813 044;B01;1;1;4;1;1975.0;1;2;6;-1;0;0;-1
202200000526;1 098 463;813 042;A01;1;1;3;2;1990.0;5;1;-1;-1;0;0;-1
202200000526;1 098 464;813 042;A01;8;2;3;2;2015.0;5;9;-1;-1;0;0;-1
202200000526;1 098 467;813 042;A01;9;2;4;1;2004.0;5;1;-1;-1;0;0;-1
202200000526;1 098 469;813 042;A01;7;2;4;1;2010.0;5;1;-1;-1;0;0;-1
202200000526;1 098 471;813 042;A01;2;2;3;2;1994.0;5;1;-1;-1;0;0;-1
202200000527;1 098 460;813 039;A01;1;1;1;2;1980.0;0;1;-1;-1;0;0;-1
202200000527;1 098 461;813 040;B01;1;1;3;1;1933.0;0;0;-1;-1;3;3;1
202200000528;1 098 459;813 038;A01;1;1;3;1;1977.0;0;1;-1;-1;0;0;-1
202200000529;1 098 456;813 036;A01;1;1;1;1;1989.0;4;8;-1;-1;0;0;-1
202200000529;1 098 457;813 036;A01;10;3;4;1;2012.0;9;9;-1;-1;9;A;3
202200000530;1 098 451;813 033;B01;1;1;3;2;1972.0;5;2;6;-1;0;0;-1
202200000531;1 098 448;813 031;A01;2;2;2;1;1984.0;1;1;-1;-1;0;0;-1
202200000531;1 098 449;813 031;A01;1;1;3;2;1986.0;1;1;-1;-1;0;0;-1
202200000531;1 098 455;813 035;B01;1;1;1;1;1981.0;4;1;-1;-1;0;0;-1
202200000532;1 098 447;813 030;B01;1;1;4;1;1971.0;5;1;-1;-1;0;0;-1
202200000532;1 098 466;813 043;A01;1;1;1;1;1962.0;1;1;-1;-1;0;0;-1
202200000533;1 098 450;813 032;A01;2;2;3;2;1985.0;4;1;1;1;0;0;-1
202200000533;1 098 452;813 032;A01;6;2;4;1;1997.0;4;1;1;1;0;0;-1
202200000533;1 098 454;813 032;A01;1;1;4;2;1999.0;4;1;1;1;0;0;-1
202200000533;1 098 458;813 037;B01;1;1;4;1;1998.0;5;1;1;1;0;0;-1
202200000534;1 098 444;813 027;A01;1;1;4;1;1959.0;5;2;6;-1;0;0;-1
202200000535;1 098 439;813 024;A01;1;1;1;2;1978.0;5;1;0;-1;-1; -1;-1
202200000535;1 098 443;813 026;B01;1;1;1;2;1971.0;5;1;0;-1;-1; -1;-1
202200000535;1 098 445;813 028;C01;1;1;4;1;1960.0;5;1;0;-1;-1; -1;-1
202200000535;1 098 446;813 029;D01;1;1;4;2;2001.0;5;1;0;-1;-1; -1;-1
202200000536;1 098 438;813 022;A01;1;1;1;1;1962.0;0;1;5;-1;0;0;-1
202200000536;1 098 441;813 025;B01;1;1;3;1;1958.0;1;2;6;9;0;0;-1
202200000537;1 098 435;813 020;A01;2;2;3;1;1994.0;5;0;-1;-1;0;0;-1
202200000537;1 098 437;813 020;A01;1;1;4;1;1997.0;5;0;-1;-1;0;0;-1
202200000537;1 098 440;813 023;B01;2;2;3;1;1979.0;5;0;-1;-1;0;0;-1
202200000537;1 098 442;813 023;B01;1;1;3;1;1971.0;5;0;-1;-1;0;0;-1
202200000538;1 098 433;813 019;B01;1;1;4;1;1973.0;1;1;-1;-1;0;0;-1
202200000538;1 098 436;813 021;A01;1;1;4;1;1980.0;3;1;-1;-1;0;0;-1
202200000539;1 098 431;813 018;A01;1;1;1;1;1999.0;5;1;-1;-1;0;0;-1
202200000539;1 098 432;813 018;A01;2;2;1;2;1995.0;5;1;-1;-1;0;0;-1
202200000539;1 098 434;813 018;A01;7;2;3;2;2016.0;5;3;-1;-1;0;0;-1
202200000540;1 098 424;813 014;A01;1;1;1;1;1980.0;0;8;-1;-1;0;0;-1
202200000540;1 098 429;813 016;B01;1;1;3;1;1985.0;0;0;-1;-1;0;0;-1
202200000541;1 098 426;813 015;A01;1;1;4;1;2005.0;1;2;6;-1;0;0;-1
202200000542;1 098 421;813 012;A01;1;1;1;1;2000.0;0;1;0;-1;-1; -1;-1
202200000542;1 098 425;813 012;A01;10;3;4;2;1961.0;9;0;-1;-1;4;3;1
202200000543;1 098 420;813 011;A01;1;1;4;1;1981.0;9;2;6;-1;0;0;-1
202200000543;1 098 422;813 013;B01;1;1;1;1;1979.0;5;1;-1;-1;0;0;-1
202200000543;1 098 423;813 013;B01;7;2;1;1;2008.0;0;1;-1;-1;0;0;-1
202200000543;1 098 427;813 013;B01;2;2;1;2;1989.0;0;1;-1;-1;0;0;-1
202200000543;1 098 428;813 013;B01;9;2;1;1;2012.0;0;1;-1;-1;0;0;-1
202200000543;1 098 430;813 017;C01;1;1;4;2;1971.0;0;1;-1;-1;0;0;-1
202200000544;1 098 414;813 006;A01;1;1;3;1;1994.0;5;2;6;-1;0;0;-1
202200000545;1 098 415;813 007;B01;1;1;1;1;1964.0;0;1;-1;-1;0;0;-1
202200000545;1 098 419;813 010;A01;1;1;3;1;1980.0;0;1;-1;-1;0;0;-1
202200000546;1 098 413;813 005;A01;1;1;1;1;1951.0;9;0;-1;-1;-1; -1;-1
202200000546;1 098 417;813 009;B01;1;1;4;1;1981.0;-1;0;-1;-1;-1; -1;-1
202200000547;1 098 412;813 004;B01;1;1;1;1;2002.0;1;1;-1;-1;0;0;-1
202200000547;1 098 416;813 008;A01;1;1;4;1;1982.0;3;1;-1;-1;0;0;-1
202200000547;1 098 418;813 008;A01;2;2;4;2;1982.0;3;1;-1;-1;0;0;-1
202200000548;1 098 411;813 002;A01;1;1;2;1;1979.0;9;1;-1;-1;0;0;-1
202200000549;1 098 407;813 000;A01;1;1;1;1;1977.0;0;8;-1;-1;-1; -1;-1
202200000549;1 098 409;813 001;B01;1;1;4;2;1996.0;0;8;-1;-1;-1; -1;-1
202200000550;1 098 406;812 999;B01;1;1;1;1;1982.0;1;1;-1;-1;0;0;-1
202200000550;1 098 410;813 003;A01;1;1;2;1;1984.0;5;2;6;-1;0;0;-1
202200000551;1 098 399;812 994;A01;1;1;3;1;1981.0;5;8;-1;-1;0;0;-1
202200000551;1 098 403;812 994;A01;8;2;4;1;2012.0;5;8;-1;-1;0;0;-1
202200000552;1 098 398;812 993;A01;1;1;1;1;1989.0;0;1;-1;-1;0;0;-1
202200000552;1 098 402;812 997;B01;1;1;4;1;1989.0;0;2;-1;-1;0;0;-1
202200000553;1 098 401;812 995;B01;2;2;1;2;1998.0;9;1;-1;-1;0;0;-1
202200000553;1 098 404;812 995;B01;1;1;1;1;1998.0;9;1;-1;-1;0;0;-1
202200000553;1 098 405;812 998;A01;1;1;3;1;1974.0;9;1;-1;-1;0;0;-1
202200000553;1 098 408;812 998;A01;2;2;1;1;1986.0;9;1;-1;-1;0;0;-1
202200000554;1 098 397;812 992;B01;1;1;1;1;1974.0;0;1;-1;-1;0;0;-1
202200000554;1 098 400;812 996;A01;1;1;2;1;1967.0;0;2;6;-1;0;0;-1
202200000555;1 098 394;812 991;A01;10;3;3;1;1932.0;3;0;-1;-1;5;4;1
202200000555;1 098 395;812 991;A01;1;1;1;2;1933.0;0;1;8;-1;-1; -1;-1
202200000556;1 098 393;812 990;A01;1;1;1;1;2002.0;5;1;-1;-1;0;0;-1
202200000556;1 098 396;812 990;A01;10;3;2;2;1960.0;5;0;-1;-1;5;6;1
202200000557;1 098 390;812 987;B01;1;1;3;2;1998.0;1;1;5;-1;0;0;-1
