Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202200000167;813 664;B01;1;7;0;2;1;1;1;
202200000168;813 662;Z01;2;7;0;1;0;0;-1;
202200000169;813 661;A01;1;30;4;0;8;13;1;
202200000170;813 660;A01;3;32;0;1;2;17;1;
202200000171;813 659;A01;1;7;1;0;1;1;1;
202200000172;813 657;A01;1;7;0;2;2;10;1;
202200000172;813 658;B01;1;32;0;2;3;1;1;
202200000173;813 655;B01;1;7;0;2;4;2;1;
202200000173;813 656;A01;1;10;0;2;1;2;1;
202200000174;813 653;B01;2;7;0;2;6;1;1;
202200000174;813 654;A01;2;15;0;2;2;12;1;
202200000175;813 651;A01;0;7;0;2;1;1;1;
202200000175;813 652;B01;0;7;0;2;3;1;1;
202200000176;813 649;A01;1;7;0;9;7;22;1;
202200000176;813 650;B01;1;1;1;0;2;14;5;
202200000177;813 647;A01;1;7;0;2;2;9;1;
202200000177;813 648;B01;1;33;0;2;1;1;1;
202200000178;813 645;A01;0;7;0;2;3;15;1;
202200000178;813 646;B01;3;30;0;2;3;15;1;
202200000179;813 643;B01;2;99;0;2;7;1;3;
202200000179;813 644;A01;1;7;0;2;2;16;1;
202200000180;813 641;B01;3;13;0;2;2;0;1;
202200000180;813 642;A01;3;7;0;2;6;9;2;
202200000181;813 639;B01;1;7;0;2;4;1;2;
202200000181;813 640;A01;1;33;0;2;1;2;1;
202200000182;813 638;A01;2;7;8;0;2;13;1;
202200000183;813 636;B01;2;10;0;2;4;1;1;
202200000183;813 637;A01;2;31;0;2;1;1;1;
202200000184;813 634;B01;1;7;0;2;1;1;1;
202200000184;813 635;A01;2;1;0;2;7;1;5;
202200000185;813 632;B01;3;7;0;2;1;1;1;
202200000185;813 633;A01;3;33;0;2;7;10;1;
202200000186;813 631;A01;0;10;0;1;1;15;1;
202200000187;813 629;B01;1;33;0;2;1;1;1;
202200000187;813 630;A01;1;50;0;2;8;15;3;
202200000188;813 628;A01;1;7;0;1;2;1;2;
202200000189;813 627;A01;2;30;0;1;1;1;3;
202200000190;813 626;A01;2;10;0;1;1;1;1;
202200000191;813 624;B01;2;30;0;2;7;1;1;
202200000191;813 625;A01;2;7;0;2;2;16;1;
202200000192;813 623;A01;2;7;0;1;1;5;1;
202200000193;813 621;B01;1;32;0;2;1;1;1;
202200000193;813 622;A01;2;7;0;2;3;15;1;
202200000194;813 618;A01;2;7;0;2;1;15;2;
202200000194;813 619;B01;1;43;0;2;1;2;1;
202200000194;813 620;C01;1;2;0;2;1;1;1;
202200000195;813 617;A01;1;7;0;1;0;0;1;
202200000196;813 615;A01;3;7;0;2;1;1;1;
202200000196;813 616;B01;2;2;0;2;1;1;1;
202200000197;813 613;B01;1;34;0;2;2;17;1;
202200000197;813 614;A01;2;7;0;2;1;21;1;
202200000198;813 611;B01;0;3;0;2;1;19;0;
202200000198;813 612;A01;0;32;0;2;8;1;1;
202200000199;813 609;A01;1;7;0;2;2;2;2;
202200000199;813 610;B01;1;7;0;2;6;24;1;
202200000200;813 607;B01;1;50;0;2;1;1;3;
202200000200;813 608;A01;1;7;0;2;3;1;1;
202200000201;813 605;B01;1;10;0;2;1;15;1;
202200000201;813 606;A01;1;30;0;2;1;15;1;
202200000202;813 603;B01;1;31;0;2;8;1;1;
202200000202;813 604;A01;1;7;0;2;3;15;1;
202200000203;813 602;A01;1;1;0;0;1;15;5;
202200000204;813 600;B01;2;80;0;2;8;1;3;
202200000204;813 601;A01;1;7;0;2;1;1;1;
202200000205;813 599;A01;1;7;0;1;1;16;1;
202200000206;813 598;A01;1;7;7;0;1;1;1;
202200000207;813 597;A01;0;7;6;0;1;1;1;
202200000208;813 596;A01;1;7;13;0;3;1;1;
202200000209;813 594;A01;1;7;0;2;1;1;1;
202200000209;813 595;B01;2;7;0;2;7;1;1;
202200000210;813 593;A01;2;33;13;0;1;1;1;
202200000211;813 591;A01;2;31;0;2;8;0;1;
202200000211;813 592;B01;1;7;0;0;7;0;0;
202200000212;813 590;A01;2;10;13;0;2;1;1;
202200000213;813 589;A01;1;7;16;0;2;14;1;
202200000214;813 588;A01;2;7;0;1;7;1;1;
202200000215;813 587;A01;2;33;12;0;7;23;1;
202200000216;813 585;A01;3;33;0;0;8;1;1;
202200000217;813 583;A01;3;7;0;9;1;1;1;
202200000217;813 584;B01;3;1;12;2;6;14;5;
202200000218;813 581;B01;1;7;0;0;0;13;0;
202200000218;813 582;A01;2;7;2;0;1;14;1;
202200000219;813 579;A01;2;7;0;2;2;15;1;
202200000219;813 580;B01;1;33;0;2;1;1;1;
202200000220;813 577;B01;1;7;0;2;7;1;1;
202200000220;813 578;A01;2;2;0;2;1;1;1;
202200000221;813 576;A01;2;7;2;0;3;16;1;
202200000222;813 575;A01;1;2;0;0;0;16;1;
202200000223;813 574;A01;1;7;0;1;2;1;2;
202200000224;813 572;A01;2;10;0;2;2;2;1;
202200000224;813 573;B01;2;7;1;2;5;2;1;
202200000225;813 571;A01;2;7;17;0;0;1;1;
202200000226;813 569;A01;1;7;0;9;2;2;1;
202200000226;813 570;B01;1;1;0;0;4;2;5;
202200000227;813 568;A01;2;7;6;0;3;13;1;
202200000228;813 565;A01;1;7;13;0;3;1;1;
202200000229;813 564;A01;2;2;8;0;0;0;1;
202200000230;813 562;B01;1;33;0;2;2;17;1;
202200000230;813 563;A01;1;7;0;2;3;15;1;
202200000231;813 560;A01;2;7;0;2;1;13;1;
202200000231;813 561;B01;1;15;0;2;3;21;1;
202200000232;813 559;A01;2;31;15;0;1;1;1;
202200000233;813 557;A01;1;7;6;2;3;1;1;
202200000233;813 558;B01;1;7;0;2;2;19;1;
202200000234;813 556;A01;2;33;3;0;2;1;1;
202200000235;813 555;A01;1;7;2;0;2;19;1;
202200000236;813 554;A01;1;33;4;0;1;1;1;
202200000237;813 553;A01;1;7;0;1;2;1;1;
202200000238;813 551;A01;1;10;0;2;3;19;1;
202200000238;813 552;B01;1;31;0;2;1;1;1;
202200000239;813 549;B01;1;15;0;2;1;1;1;
202200000239;813 550;A01;2;7;0;2;1;13;1;
