Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200000071;21;10;2022;15:30;1;62;62610;1;1;1;7;D113;50,4679670000;1,7957070000
202200000072;22;10;2022;09:15;1;51;51571;1;1;1;1;D934;49,1540190000;4,2083750000
202200000073;18;10;2022;02:20;3;51;51323;1;1;2;3;N4;48,7216600000;3,7876220000
202200000074;22;10;2022;02:30;3;51;51372;1;6;1;7;N44;48,9105060000;4,4309230000
202200000075;20;10;2022;11:05;1;2B;2B261;1;1;1;3;mortino;42,9637470000;9,4242330000
202200000076;21;10;2022;14:30;1;65;65125;1;1;1;2;ROUTE DÉPAREMENTALE 817;43,1153507439;0,3653141856
202200000077;22;10;2022;05:20;3;33;33314;1;3;1;3;Intersection D 206 et D 104 E3;45,1866650000; -0,7671980000
202200000078;21;10;2022;18:45;3;71;71143;1;1;3;7;Route de Saint-sulpice;46,4532300000;5,3108650000
202200000079;21;10;2022;18:10;3;71;71428;2;3;3;1;RD83 - Les Alouettes;46,1953910000;4,2970810000
202200000080;22;10;2022;10:10;1;71;71237;1;2;5;3;D681;47,0502810000;4,3467070000
202200000081;21;10;2022;20:50;5;71;71543;2;1;3;6;Avenue de la Résistance;46,5654850000;4,9036040000
202200000082;21;10;2022;14:50;1;89;89039;1;1;1;1;;47,8170240000;3,8992600000
202200000083;21;10;2022;17:50;2;63;63430;1;3;2;3;D201;45,8665470000;3,5659700000
202200000084;21;10;2022;16:45;1;63;63297;1;1;1;6;D212;45,7527020000;3,3648310000
202200000085;22;10;2022;16:00;1;61;61029;1;1;1;7;Courthioust;48,5441070000;0,4924430000
202200000086;22;10;2022;02:15;3;22;22220;1;1;2;6;Kerpierre;48,2583790000; -3,2235620000
202200000087;18;10;2022;11:03;1;29;29075;2;6;1;3;Rond Point de la Vallée;48,4312260000; -4,4026580000
202200000088;22;10;2022;18:14;1;38;38261;1;1;1;6;Route de Bachelin;45,6782480000;5,4493740000
202200000089;21;10;2022;20:48;3;02;02226;1;1;1;7;D173;49,3365570000;3,3015930000
202200000090;21;10;2022;16:50;1;26;26248;1;1;8;6;D93;44,7366280000;5,2661630000
202200000091;21;10;2022;13:40;1;14;14231;1;1;1;1;D287;49,2166300000;0,0098380000
202200000092;12;10;2022;10:45;1;09;09173;1;1;1;2;route de crampagna;43,0363570000;1,5407970000
202200000093;22;10;2022;09:25;1;60;60086;1;9;1;6;D603;49,1766540000;2,3531560000
202200000094;28;9;2022;18:18;1;45;45258;2;1;2;7;19 Route de Briarres;48,2125820000;2,4580700000
202200000095;22;10;2022;11:00;1;73;73303;2;3;1;3;D1508;45,7513020000;6,4064350000
202200000096;19;10;2022;01:00;4;16;16397;1;1;1;6;Guignefolle;45,8872210000; -0,0758020000
202200000097;21;10;2022;15:55;1;53;53112;1;2;1;4;RN12;48,3978973804; -0,3763012008
202200000098;14;9;2022;16:30;1;24;24237;1;3;1;2;Chemin de Creysse;44,8877160000;0,5492360000
202200000099;22;10;2022;11:15;1;27;27117;2;1;1;6;5 rue des canadiens;49,0087060000;0,5290250000
202200000100;21;10;2022;18:00;1;17;17093;2;3;1;3;Avenue d'Antioche;45,8907400000; -1,2204910000
202200000101;22;10;2022;05:00;3;48;48157;1;1;8;6;D901;44,5215710000;3,6125280000
202200000102;21;10;2022;20:45;3;973;97307;1;1;1;2;RN1 VOIE RAPIDE;4,8953090000; -52,3298120000
202200000103;21;10;2022;20:25;5;77;77521;2;1;1;1;D406;48,8612420000;2,8655430000
202200000104;21;10;2022;16:00;1;67;67287;1;1;1;2;Autoroute A4;48,7695300000;7,5224800000
202200000105;21;10;2022;15:50;1;33;33095;1;1;1;6;A65PK 022.700 sens Pau Langon;44,3172160000; -0,2293400000
202200000106;21;10;2022;19:35;3;71;71428;1;1;3;3;Arfeuille (Arrêt de bus);46,2004260000;4,3078640000
202200000107;22;10;2022;09:45;1;988;98817;2;1;1;6;Route de la fontaine; -22,2662620000;166,6144950000
202200000108;21;10;2022;22:45;3;45;45244;1;1;1;2;D952 PR 23 + 650;47,7646010718;2,4916333508
202200000109;21;10;2022;16:35;1;77;77229;1;1;1;1;Route nationale 36;48,7552089048;2,8588062388
202200000110;21;10;2022;18:29;2;13;13085;2;1;8;7;D559a;43,2660980994;5,5862754381
202200000111;18;10;2022;16:55;1;13;13042;1;1;1;3;D2;43,3158030000;5,6656620000
202200000112;22;10;2022;13:35;1;08;08081;1;1;1;1;route départementale 1;49,8693940000;4,7420280000
202200000113;21;10;2022;20:20;3;68;68036;1;1;3;6;route departementale 468;48,0511340000;7,5370130000
202200000114;22;10;2022;16:10;1;67;67282;2;6;1;6;Rue d Austrasie;48,6265620000;7,5046440000
202200000115;22;10;2022;15:05;1;67;67268;1;2;7;1;Rue de Lyon;48,4903840000;7,6755970000
202200000116;22;10;2022;12:25;1;03;03102;1;1;1;1;RD15;46,5530340000;3,6922510000
202200000117;22;10;2022;11:15;1;65;65123;1;1;1;6;RD 918 - PR 052.000;42,9365220000;0,2088900000
