Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200000001;4;TEIL(vieille route du);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000003;3;ROND POINT DE BREZILLET;0;;-1;2;0;1;0;0;1;; -1;1;5;1;50
202200000004;4;QUATORZE JUILLET (RUE DU);0;;1;1;0;2;(1);(1);1;;4;1;0;1;30
202200000005;3;ROUTE DE JEAN MOULIN-RN 538;0;;2;2;0;1;8;0;1;; -1;1;0;1;80
202200000006;3;TURCAN FRANCIS;0;;3;4;0;1;28;6;1;; -1;1;0;1;50
202200000007;4;CARNOT  RUE;0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202200000008;4;JAURES JEAN (AVENUE);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000009;4;LOMBARDS (AVENUE);0;;2;3;3;1;(1);(1);1;; -1;2;0;3;50
202200000010;4;PREMIER MAI (RUE DU);0;;3;1;0;1;0;0;1;; -1;1;0;1;50
202200000011;3;ESPAGNE (ROUTE D');0;;2;2;0;2;38;522;1;; -1;2;0;4;70
202200000012;4;CASSIN (BD RENE);0;;3;2;3;1;(1);(1);1;; -1;1;0;1;50
202200000013;3;GRIVATS (ROUTE DES);0;;2;2;0;1;5;370;1;; -1;1;0;1;90
202200000014;4;GRANDE RUE;0;;2;2;0;1;0;0;3;; -1;1;0;1;80
202200000015;4;PLACE SKANDERBEG;0;;1;4;2;1;(1);(1);2;; -1;2;0;1;30
202200000016;4;RUE DE VAUGIRARD;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000017;4;BOULEVARD SAINT GERMAIN;0;;1;3;1;1;(1);(1);1;; -1;1;0;5;30
202200000018;4;RUE DE MENILMONTANT;0;;3;2;0;2;(1);(1);1;; -1;2;0;1;30
202200000019;4;AVENUE DU PRESIDENT KENNEDY;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000020;4;BOULEVARD LANNES;0;;-1;4;0;1;(1);(1);1;; -1;2;0;1;50
202200000021;4;PLACE DE LA PORTE MAILLOT;0;;2;4;0;1;(1);(1);3;; -1;2;8;1;30
202200000022;4;RUE DE LA CROIX NIVERT;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000023;4;RUE EMILE RICHARD;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;30
202200000024;4;AVENUE D IVRY;0;;1;3;1;1;(1);(1);1;; -1;1;0;1;30
202200000025;4;BOULEVARD KELLERMANN;0;;2;6;1;2;(1);(1);2;; -1;2;0;5;50
202200000026;4;AVENUE DE LA PORTE DE BAGNOLET;0;;2;4;0;1;(1);(1);1;; -1;2;0;1;30
202200000027;4;RUE DE TURENNE;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000028;4;RUE THERESE;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;30
202200000029;4;EDOUARD TIL (R);0;;2;1;0;1;0;0;1;; -1;2;5;1;50
202200000030;1;BRETELLE A86;0;;1;2;0;1;0;0;2;; -1;1;3;1;50
202200000031;3;FONTENAY (R DE);0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202200000032;4;CARNOT (AV);0;;1;1;0;1;(1);(1);1;; -1;1;0;1;30
202200000033;3;LEDRU ROLLIN (AV);0;;2;2;0;1;1;0;1;; -1;2;9;1;50
202200000034;3;GENERAL GALLIENI (AV DU);0;;2;2;1;1;(1);(1);1;; -1;1;0;1;50
202200000035;3;GENERAL DE GAULLE (AV DU);0;;2;4;0;1;0;0;1;; -1;2;6;1;50
